0 formula(2) formula(3) formula(4) formula(5) formula(6)
1 0.00520382 0.00589912 0.000347649 9.89579e-06 9.14011e-07
2 0.00267905 0.00285198 8.64646e-05 5.96923e-07 1.26909e-08
3 0.0013599 0.00140308 2.15884e-05 3.69849e-08 1.92786e-10
4 0.000685191 0.000695982 5.39537e-06 2.30657e-09 2.9898e-12
5 0.000343925 0.000346622 1.34874e-06 1.4408e-10 4.96547e-14
6 0.000172297 0.000172971 3.37177e-07 8.99877e-12 6.18949e-15
7 8.62326e-05 8.64011e-05 8.42938e-08 5.5278e-13 9.99201e-15
8 4.31373e-05 4.31795e-05 2.10734e-08 1.75138e-14 1.8513e-14
9 2.15739e-05 2.15845e-05 5.26839e-09 3.93574e-14 4.31599e-14
10 1.07883e-05 1.07909e-05 1.31709e-09 8.04912e-15 1.55986e-14
11 5.39447e-06 5.39513e-06 3.29267e-10 8.04912e-15 7.99361e-15
12 2.69732e-06 2.69748e-06 8.23391e-11 2.9865e-14 2.9865e-14
13 1.34868e-06 1.34872e-06 2.04935e-11 1.21708e-13 1.52017e-13
14 6.74345e-07 6.74355e-07 5.03209e-12 1.21736e-13 1.2168e-13
15 3.37174e-07 3.37177e-07 1.39411e-12 1.81466e-13 1.81466e-13
16 1.68597e-07 1.686e-07 1.39411e-12 1.39411e-12 1.63664e-12
17 8.43124e-08 8.43152e-08 1.39411e-12 1.39411e-12 1.39411e-12
18 4.21992e-08 4.21437e-08 2.77097e-11 3.7411e-11 4.22616e-11
19 2.10698e-08 2.10726e-08 1.39411e-12 1.10954e-11 1.88564e-11
20 1.07088e-08 1.07116e-08 6.95268e-310 6.95268e-310 4.66677e-310
21 6.95268e-310 6.95268e-310 6.95268e-310 4.66677e-310 6.95268e-310
