0 formula(2) formula(3) formula(4) formula(5) formula(6)
1 10.7715 9.75648 10.264 10.2675 10.2071
2 11.4856 12.1478 11.8167 12.3343 12.5804
3 6.76973 8.27836 7.52404 6.09315 5.07355
4 1.6081 3.13621 2.37216 0.654863 0.187425
5 0.177496 1.07862 0.628058 0.0466915 0.00357045
6 0.0753232 0.393875 0.159276 0.00301501 5.85392e-05
7 0.0785273 0.15845 0.0399614 0.000189978 9.2566e-07
8 0.0493945 0.0693931 0.00999928 1.18978e-05 1.45066e-08
9 0.0272152 0.032216 0.00250038 7.43989e-07 2.26832e-10
10 0.014235 0.0154853 0.000625129 4.65052e-08 3.55094e-12
11 0.00727408 0.00758665 0.000156285 2.90666e-09 4.44089e-14
12 0.00367615 0.00375429 3.90713e-05 1.81654e-10 1.59872e-14
13 0.00184785 0.00186738 9.76782e-06 1.13562e-11 5.32907e-15
14 0.000926365 0.000931249 2.44196e-06 6.05738e-13 1.20792e-13
15 0.000463793 0.000465014 6.10489e-07 1.68754e-13 1.61648e-13
16 0.000232049 0.000232354 1.52622e-07 5.52447e-13 6.43041e-13
17 0.000116063 0.000116139 3.81556e-08 2.07834e-13 3.2685e-13
18 5.80409e-05 5.806e-05 9.53838e-09 7.01661e-13 8.26006e-13
19 2.90228e-05 2.90276e-05 2.3843e-09 3.9968e-13 2.80664e-13
20 1.4512e-05 1.45132e-05 5.90772e-10 7.0699e-12 7.79643e-12
21 7.25615e-06 7.25644e-06 1.46938e-10 1.00542e-12 3.73035e-14
