0 formula(2) formula(3) formula(4) formula(5) formula(6)
1 0.271998 0.439354 0.355676 0.197371 0.153659
2 0.0296058 0.194402 0.112004 0.03078 0.0149523
3 0.0194689 0.0793091 0.0299201 0.00255878 0.00041973
4 0.0182626 0.0334811 0.00760925 0.000172301 7.60777e-06
5 0.011178 0.0149991 0.00191054 1.09729e-05 1.23204e-07
6 0.00608536 0.00704167 0.000478152 6.8904e-07 1.94209e-09
7 0.0031646 0.00340374 0.00011957 4.31157e-08 3.04128e-11
8 0.00161249 0.00167228 2.98946e-05 2.69552e-09 4.75175e-13
9 0.000813757 0.000828705 7.47378e-06 1.6851e-10 3.70814e-14
10 0.000408752 0.000412489 1.86845e-06 1.05229e-11 1.22125e-14
11 0.000204844 0.000205778 4.67114e-07 7.363e-13 8.83738e-14
12 0.000102539 0.000102772 1.16779e-07 2.05613e-13 1.75415e-13
13 5.12985e-05 5.13569e-05 2.91947e-08 9.21485e-14 7.68274e-14
14 2.56566e-05 2.56712e-05 7.29954e-09 1.15308e-12 1.27431e-12
15 1.28301e-05 1.28338e-05 1.82439e-09 6.6569e-13 9.08384e-13
16 6.41551e-06 6.41642e-06 4.56507e-10 5.46674e-13 7.89147e-13
17 3.20788e-06 3.2081e-06 1.10899e-10 4.30367e-12 5.03153e-12
18 1.60397e-06 1.60403e-06 3.08633e-11 4.18465e-12 5.15477e-12
19 8.01983e-07 8.02045e-07 3.08633e-11 3.08633e-11 3.37739e-11
20 4.00991e-07 4.00994e-07 1.75948e-12 7.94165e-12 1.37625e-11
21 2.0064e-07 2.00527e-07 5.64482e-11 7.58509e-11 8.74925e-11
