0 formula(2) formula(3) formula(4) formula(5) formula(6)
1 0.154617 0.384833 0.115108 0.0595588 0.0279134
2 0.141522 0.201541 0.0300093 0.00164319 0.00209235
3 0.0831763 0.0981841 0.0075039 2.09408e-06 6.69679e-05
4 0.044088 0.0478372 0.00187459 1.84725e-06 1.21589e-06
5 0.0225908 0.0235279 0.000468536 1.48077e-07 1.96907e-08
6 0.0114223 0.0116566 0.000117127 9.77141e-09 3.10401e-10
7 0.00574165 0.00580022 2.92812e-05 6.1881e-10 4.85834e-12
8 0.0028783 0.00289294 7.32028e-06 3.88036e-11 7.77989e-14
9 0.001441 0.00144466 1.83007e-06 2.41548e-12 1.21847e-14
10 0.00072096 0.000721875 4.57517e-07 1.51185e-13 1.55431e-15
11 0.000360594 0.000360823 1.14379e-07 7.14429e-14 9.03722e-14
12 0.000180326 0.000180383 2.85948e-08 4.30211e-14 3.54161e-14
13 9.01701e-05 9.01844e-05 7.14861e-09 1.27509e-13 1.57846e-13
14 4.50868e-05 4.50904e-05 1.7876e-09 5.92471e-13 6.68243e-13
15 2.25439e-05 2.25448e-05 4.47458e-10 7.44099e-13 7.44044e-13
16 1.1272e-05 1.12723e-05 1.11854e-10 1.38223e-14 1.35114e-13
17 5.63605e-06 5.63611e-06 2.81805e-11 2.89324e-13 2.89296e-13
18 2.81803e-06 2.81804e-06 2.71463e-12 5.77396e-12 6.25905e-12
19 1.409e-06 1.40904e-06 1.72665e-11 2.21172e-11 2.59977e-11
20 7.04514e-07 7.04519e-07 2.71463e-12 2.13599e-12 6.01652e-12
21 3.52183e-07 3.52246e-07 3.18185e-11 4.15197e-11 4.54002e-11
